,SO2,CO,PM10,NO2,O3,PM2.5
2023-02-12 09:00:00,9.89762711864407,158.546610169492,,22.2247457627119,10.9398305084746,
2023-02-12 10:00:00,7.9334375,165.52765625,,22.856875,15.368125,
2023-02-12 11:00:00,7.62875,157.77046875,,22.01328125,15.7978125,
2023-02-12 12:00:00,7.8284126984127,153.934126984127,,21.621746031746,15.9430158730159,
2023-02-12 13:00:00,10.6261538461538,164.805,,21.4675,12.1717307692308,
2023-02-12 14:00:00,16.14375,210.632291666667,,22.57375,7.68375,
2023-02-12 15:00:00,19.5931034482759,211.965344827586,,16.0586206896552,4.87051724137931,
2023-02-12 16:00:00,19.5228846153846,215.670961538462,,12.1125,8.63788461538462,
2023-02-12 17:00:00,20.3128846153846,276.093076923077,,15.8576923076923,11.1611538461538,
2023-02-12 18:00:00,19.9070967741936,235.753064516129,,12.1529032258065,8.24903225806452,
2023-02-12 19:00:00,17.3352083333333,262.44125,,9.53416666666667,16.863125,
2023-02-12 20:00:00,11.6968,298.0992,,22.9016,19.1226,
2023-02-12 21:00:00,22.0634693877551,350.694897959184,,21.7595918367347,12.7622448979592,
2023-02-12 22:00:00,20.9448979591837,292.168571428571,,19.0914285714286,10.6081632653061,
2023-02-12 23:00:00,17.0177586206897,288.361034482759,,22.6975862068966,13.4762068965517,
2023-02-13 00:00:00,11.8885365853659,250.991951219512,,27.5082926829268,16.7648780487805,
2023-02-13 01:00:00,10.0771794871795,245.172820512821,,30.2241025641026,14.4787179487179,
2023-02-13 02:00:00,13.22075,270.297,,28.6605,10.284,
2023-02-13 03:00:00,15.1422222222222,261.04,,27.7072222222222,8.57027777777778,
2023-02-13 04:00:00,14.9345714285714,241.053714285714,,26.6188571428571,9.054,
2023-02-13 05:00:00,16.6821428571429,248.359285714286,,27.3639285714286,5.11767857142857,
2023-02-13 06:00:00,17.908125,227.24984375,,24.1321875,5.7134375,
2023-02-13 07:00:00,19.0743548387097,230.858709677419,,22.8985483870968,5.31145161290323,
2023-02-13 08:00:00,16.3290322580645,193.286774193548,,21.4732258064516,5.90483870967742,
2023-02-15 17:00:00,14.7372131147541,174.333442622951,,21.0695081967213,8.33262295081967,
2023-02-15 18:00:00,13.65234375,169.59921875,,19.725625,8.42078125,
2023-02-15 19:00:00,14.9736507936508,168.609682539683,,20.0769841269841,8.63428571428572,
2023-02-15 20:00:00,13.3666666666667,168.6965,,20.6068333333333,7.62466666666667,
2023-02-15 21:00:00,13.8989473684211,160.109649122807,,18.6826315789474,10.5370175438597,
2023-02-15 22:00:00,18.1047058823529,215.656862745098,,17.9886274509804,7.29686274509804,
2023-02-15 23:00:00,18.5291525423729,238.835254237288,,18.5625423728814,6.91372881355932,
2023-02-16 00:00:00,15.4626785714286,246.762321428572,,17.8503571428571,10.5419642857143,
2023-02-16 01:00:00,15.4829411764706,257.167647058824,,15.5401960784314,12.5360784313726,
2023-02-16 02:00:00,13.1647619047619,252.320952380952,,15.2030158730159,12.3247619047619,
2023-02-16 03:00:00,17.0996363636364,291.833272727273,,14.238,14.3781818181818,
2023-02-16 04:00:00,20.5438333333333,343.611,,12.8255,18.0298333333333,
2023-02-16 05:00:00,16.1773684210526,377.149649122807,,24.6414035087719,22.561052631579,
2023-02-16 06:00:00,16.3915,326.359,,23.6745,17.7956666666667,
2023-02-16 07:00:00,16.5144262295082,342.29,,28.3308196721312,17.0803278688525,
2023-02-16 08:00:00,14.5953703703704,324.491296296296,,29.1074074074074,15.2644444444444,
2023-02-16 09:00:00,13.1513725490196,285.2,,28.338431372549,15.0396078431373,
2023-02-16 10:00:00,14.0973170731707,267.019512195122,,26.2212195121951,13.8941463414634,
2023-02-16 11:00:00,11.6413513513514,239.418378378378,,24.9116216216216,13.1756756756757,
2023-02-16 12:00:00,11.6177551020408,235.69612244898,,24.6026530612245,12.12,
2023-02-16 13:00:00,10.5677049180328,233.059344262295,,24.8,14.165737704918,
2023-02-16 14:00:00,11.09828125,220.41328125,,23.908125,13.093125,
2023-02-16 15:00:00,10.5966153846154,222.182,,24.5598461538462,14.1321538461539,
2023-02-16 16:00:00,11.635,209.577727272727,,24.1436363636364,12.5813636363636,
2023-02-16 17:00:00,11.0565573770492,214.232950819672,,24.587868852459,13.6808196721312,
2023-02-16 18:00:00,10.9792063492064,225.296031746032,,25.1533333333333,13.7990476190476,
2023-02-16 19:00:00,11.5630158730159,238.285079365079,,23.3039682539683,12.5422222222222,
2023-02-16 20:00:00,12.650625,242.314375,,23.66015625,12.65078125,
2023-02-16 21:00:00,14.2578333333333,252.481166666667,,23.3238333333333,11.2553333333333,
2023-02-16 22:00:00,16.9018644067797,271.500677966102,,21.1752542372881,9.21372881355932,
2023-02-16 23:00:00,18.6435185185185,273.972962962963,,17.7951851851852,6.8612962962963,
2023-02-17 00:00:00,16.8609259259259,285.436481481482,,17.6798148148148,8.82925925925926,
2023-02-17 01:00:00,16.7098305084746,404.636271186441,,22.3261016949153,10.8559322033898,
